X n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n13 n14 n15 n16 n17 n18 n19 n20 n21 n22 n23 n24 n25 n26 n27 n28 n29 n30 n31 n32 n33 n34 n35 n36 n37 n38 n39 n40 n41 n42 n43 n44 n45 n46 n47 n48 n49 n50
n15 0 0 8 0 8 5 8 0 0 4 1 5 0 0 0 0 0 0 2 0 0 0 4 0 0 0 6 0 0 0 0 0 3 1 0 3 0 0 0 0 0 7 0 0 8 0 4 8 7 1
n16 0 2 0 6 0 0 4 0 0 0 0 0 0 5 0 0 4 0 0 1 0 0 0 0 0 0 6 0 0 5 0 0 0 0 6 5 0 6 0 5 0 0 3 0 0 0 7 0 0 6
n17 2 0 0 0 0 7 4 0 0 4 3 0 5 5 0 4 0 5 5 3 6 0 8 0 0 0 0 0 0 4 0 0 0 0 1 0 0 7 0 0 2 0 0 0 0 0 0 0 5 0
n18 5 0 0 1 7 0 4 0 0 0 7 5 0 3 0 0 5 0 3 0 6 0 0 0 1 0 7 6 0 0 0 7 1 3 0 0 1 5 0 0 7 0 0 1 0 0 0 0 0 8
n19 5 2 0 1 6 4 0 6 3 0 2 5 0 1 2 0 5 3 0 0 0 3 3 1 3 4 6 1 0 0 0 0 0 0 0 6 3 0 0 0 0 1 0 4 0 0 0 2 4 3
n20 4 4 5 1 0 0 0 6 5 2 6 2 6 0 0 1 3 0 0 0 0 0 0 1 1 0 8 2 0 7 3 0 2 0 0 5 1 8 0 6 7 5 1 8 7 2 0 0 6 0
n21 7 6 6 0 5 0 0 8 0 7 0 0 7 7 0 0 6 6 0 0 0 4 4 0 0 0 7 0 0 0 5 8 0 7 7 0 0 0 0 0 0 0 1 3 2 3 7 0 4 6
n22 5 3 8 3 7 0 5 0 0 7 5 0 0 0 0 0 0 0 3 0 4 0 0 0 0 7 0 0 7 5 0 1 4 3 7 0 7 4 0 0 3 2 0 8 8 1 0 6 0 1
n23 4 0 0 0 0 5 0 5 6 0 3 4 4 0 4 0 8 0 3 0 4 0 0 5 0 0 2 0 4 5 6 3 0 0 1 1 0 0 0 4 0 3 6 0 0 0 0 4 0 0
n24 2 0 7 1 0 1 7 6 0 7 7 0 0 4 0 0 0 0 1 1 0 0 5 0 0 0 0 0 0 0 0 8 5 1 5 6 0 8 7 5 0 8 0 0 3 0 0 8 5 0
n25 0 0 1 2 6 5 8 0 6 0 4 2 5 0 0 0 0 1 3 1 0 0 0 0 0 2 7 5 8 0 0 0 0 5 0 5 0 0 0 0 0 0 4 0 0 0 0 0 0 0
n26 0 5 3 8 7 0 0 0 4 1 0 1 0 0 0 0 0 0 4 0 0 7 0 0 2 0 2 0 6 2 3 1 0 1 0 0 0 0 0 7 6 5 0 0 0 6 8 2 7 0
n27 0 0 2 0 3 1 0 5 0 0 7 2 8 5 6 6 0 7 6 8 7 0 2 0 7 2 0 0 8 0 0 0 8 8 0 1 1 0 6 0 5 0 0 0 2 0 0 0 0 0
n28 8 4 0 0 1 8 0 0 5 2 0 0 4 5 0 0 0 6 1 2 0 0 0 0 5 0 0 0 8 0 0 6 0 3 0 7 0 2 0 0 0 5 0 0 4 0 7 0 0 4
n29 7 0 3 0 0 8 0 4 6 0 0 1 3 0 0 0 0 0 0 0 0 7 4 0 8 6 8 8 0 1 0 5 0 0 0 0 2 4 0 0 0 0 0 0 0 0 1 0 0 0
n30 8 0 0 1 1 2 0 0 0 3 0 0 2 1 0 5 4 0 0 7 0 5 5 0 0 2 0 0 1 0 0 0 2 7 0 4 6 0 8 0 0 5 8 4 0 5 4 0 0 0
n31 0 1 0 0 0 7 0 0 6 2 4 4 0 0 0 0 0 0 0 3 5 0 6 0 0 3 0 0 0 0 0 5 0 0 6 2 5 0 6 7 7 6 1 7 0 0 2 0 0 0
n32 0 0 0 6 0 2 2 0 5 6 6 0 0 7 0 0 0 7 0 0 8 1 3 8 0 1 0 6 5 0 5 0 0 7 4 0 0 0 5 0 0 0 5 0 0 0 1 0 1 0
n33 4 6 0 0 8 0 0 7 0 2 0 0 0 0 3 0 0 1 0 2 0 4 0 5 0 0 8 0 0 2 0 0 0 0 0 0 3 7 5 5 3 0 1 0 2 6 1 0 0 0
n34 3 0 1 6 0 6 0 0 0 3 0 7 4 0 1 0 0 3 0 0 7 3 0 1 5 1 8 3 0 7 0 7 0 0 6 2 0 7 0 0 0 0 8 3 0 0 0 0 0 0
n35 0 8 5 2 0 0 0 0 0 2 7 0 2 8 0 6 1 0 0 0 7 7 1 5 0 0 0 0 0 0 6 4 0 6 0 0 0 1 0 0 8 5 2 0 0 0 0 3 8 0
n36 0 0 0 5 0 6 5 6 3 0 0 4 7 3 3 5 0 0 6 5 0 0 1 6 5 0 1 7 0 4 2 0 0 2 0 0 0 0 0 0 0 0 0 4 0 0 8 0 0 0
n37 0 4 1 0 0 4 7 4 0 2 2 0 8 3 0 0 0 1 3 1 0 7 0 0 0 0 1 0 2 6 5 0 3 0 0 0 0 3 8 0 4 4 1 0 0 0 0 0 0 4
n38 0 0 0 0 0 8 3 4 7 0 1 0 1 5 0 6 7 5 0 8 0 4 0 8 0 0 0 2 4 0 0 0 7 7 1 0 3 0 6 7 0 3 0 0 1 0 3 0 8 0
n39 0 6 0 0 5 6 0 0 2 6 6 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 6 0 0 8 6 5 5 0 0 0 8 6 0 0 8 0 0 4 8 0 5 7 0 0
n40 3 0 7 0 0 0 8 0 0 4 2 0 0 0 0 5 0 0 0 6 0 0 4 5 0 7 0 0 0 0 7 0 5 0 0 0 0 7 0 0 3 0 1 0 8 4 2 0 0 0
n41 0 0 0 0 0 0 2 4 6 2 0 6 0 0 0 0 2 7 0 7 0 3 0 0 0 6 5 0 0 0 7 0 3 0 8 0 4 0 8 3 0 0 1 5 0 1 0 2 2 0
n42 0 0 0 0 4 3 0 0 0 0 7 8 0 0 7 0 0 0 1 5 0 2 3 8 0 5 0 5 0 5 6 0 0 0 5 0 4 3 0 0 0 0 1 5 0 6 4 5 0 0
n43 0 8 0 6 8 8 5 0 2 0 0 0 0 3 0 3 0 0 0 1 1 0 6 0 4 0 0 0 0 8 1 5 1 8 2 0 1 0 0 1 1 1 0 3 5 8 0 5 0 0
n44 1 8 0 3 0 0 3 6 0 1 0 4 7 2 0 0 0 1 4 8 3 8 0 0 0 0 0 0 0 4 7 0 0 3 0 4 0 0 4 0 5 5 3 0 0 3 4 0 2 0
n45 4 8 8 0 1 0 0 0 5 0 5 0 1 0 8 0 0 0 0 7 2 8 0 3 0 0 2 4 0 0 0 0 2 0 0 0 0 1 8 8 0 0 5 0 0 0 3 4 7 0
n46 4 1 0 7 1 0 0 2 7 0 0 4 8 4 0 0 0 0 0 2 3 1 0 0 0 6 0 0 0 5 0 0 6 0 0 0 0 0 0 4 1 6 8 3 0 0 0 0 0 0
n47 0 0 0 0 3 0 5 0 0 0 5 1 0 5 4 7 0 0 0 0 7 0 0 0 0 8 0 7 1 4 2 1 1 0 0 8 0 3 5 2 0 4 0 4 3 0 0 0 0 0
n48 0 0 0 7 0 0 0 0 0 0 4 0 0 1 8 0 0 0 2 0 0 6 4 8 0 2 0 0 0 0 0 0 0 0 3 0 0 0 7 0 2 5 5 0 4 0 0 0 1 8
n49 0 7 0 1 3 0 0 0 4 6 4 0 0 0 7 0 5 0 4 6 4 0 0 5 0 7 0 0 0 0 0 1 0 0 8 0 0 8 0 0 2 0 0 2 7 0 0 1 0 0
n50 2 4 0 0 4 0 0 0 0 3 0 8 0 0 1 6 0 8 3 0 6 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 8 0 0
